customerID,Contract,tenure,MonthlyCharges,Churn,Predicted_Churn_Probability,Risk_Tier
9300-AGZNL,Month-to-month,1,94.0,Yes,0.9278703096198629,High
9497-QCMMS,Month-to-month,1,93.55,Yes,0.9274997587628152,High
8149-RSOUN,Month-to-month,1,93.85,Yes,0.9247731343057928,High
4910-GMJOT,Month-to-month,1,94.6,Yes,0.9247731343057928,High
0295-PPHDO,Month-to-month,1,95.45,Yes,0.9219317272641289,High
1069-XAIEM,Month-to-month,1,85.05,Yes,0.921826973911515,High
5192-EBGOV,Month-to-month,1,85.7,Yes,0.9199693520077644,High
5178-LMXOP,Month-to-month,1,95.1,Yes,0.918518527530172,High
9282-IZGQK,Month-to-month,1,85.0,Yes,0.9184434268066171,High
5419-JPRRN,Month-to-month,1,101.45,Yes,0.9180169930041084,High
8603-IJWDN,Month-to-month,1,86.6,Yes,0.9161979436988619,High
7024-OHCCK,Month-to-month,2,93.85,Yes,0.9158224837533204,High
7216-EWTRS,Month-to-month,1,100.8,Yes,0.915718096434768,High
4826-XTSOH,Month-to-month,1,86.05,Yes,0.9147968344252265,High
2720-WGKHP,Month-to-month,2,94.0,Yes,0.9141219102190731,High
4912-PIGUY,Month-to-month,1,84.6,No,0.9137212559580818,High
4424-TKOPW,Month-to-month,2,93.85,Yes,0.9133587198098212,High
3988-RQIXO,Month-to-month,1,91.3,Yes,0.9131480885339855,High
9248-OJYKK,Month-to-month,1,76.45,Yes,0.9129278970598913,High
6894-LFHLY,Month-to-month,1,75.75,Yes,0.912530478206992,High
3158-MOERK,Month-to-month,2,96.0,Yes,0.9121623123149286,High
3068-OMWZA,Month-to-month,1,88.8,Yes,0.9118757903594357,High
6567-HOOPW,Month-to-month,1,79.2,Yes,0.9112503933460835,High
5240-IJOQT,Month-to-month,1,74.7,Yes,0.9108581903167294,High
4988-IQIGL,Month-to-month,1,75.35,Yes,0.9104700304388812,High
3551-HUAZH,Month-to-month,1,74.4,Yes,0.9104181657401059,High
7851-WZEKY,Month-to-month,2,95.15,Yes,0.909978695118516,High
8580-AECUZ,Month-to-month,1,79.1,Yes,0.9089444227104461,High
8058-INTPH,Month-to-month,1,79.65,Yes,0.9087102388131553,High
1415-YFWLT,Month-to-month,1,89.3,Yes,0.9083555197155888,High
2609-IAICY,Month-to-month,1,77.15,Yes,0.9081396878257529,High
5494-HECPR,Month-to-month,1,80.25,Yes,0.9080250488797514,High
1833-VGRUM,Month-to-month,1,74.2,Yes,0.9075859037451882,High
0495-RVCBF,Month-to-month,1,79.7,Yes,0.9071733021504947,High
6358-LYNGM,Month-to-month,1,74.9,Yes,0.906863578292411,High
1157-BQCUW,Month-to-month,1,74.95,Yes,0.906863578292411,High
7274-RTAPZ,Month-to-month,1,90.55,Yes,0.9064718996085452,High
8473-VUVJN,Month-to-month,1,73.65,Yes,0.9064698381372591,High
5550-VFRLC,Month-to-month,1,69.85,Yes,0.9063815645302797,High
1452-VOQCH,Month-to-month,1,75.1,No,0.906358538561697,High
2514-GINMM,Month-to-month,1,79.5,Yes,0.9063200269305456,High
1761-AEZZR,Month-to-month,1,79.55,Yes,0.9063200269305456,High
9300-RENDD,Month-to-month,1,79.95,Yes,0.9063200269305456,High
2004-OCQXK,Month-to-month,1,81.95,Yes,0.906198488432431,High
8775-LHDJH,Month-to-month,1,90.6,Yes,0.9061278268554122,High
5960-WPXQM,Month-to-month,1,79.05,Yes,0.9060793821979933,High
5834-ASPWA,Month-to-month,1,75.45,Yes,0.9060237677672904,High
9787-XVQIU,Month-to-month,1,75.3,Yes,0.9060237677672904,High
8740-CRYFY,Month-to-month,1,78.95,Yes,0.9059336132105937,High
4871-JTKJF,Month-to-month,1,69.65,Yes,0.9059108973394132,High
8375-DKEBR,Month-to-month,1,69.6,Yes,0.9057478536883121,High
2636-ALXXZ,Month-to-month,1,69.6,Yes,0.9057478536883121,High
4614-NUVZD,Month-to-month,1,81.1,Yes,0.9056291655516591,High
8816-VXNZD,Month-to-month,1,75.1,Yes,0.9054073056052943,High
7439-DKZTW,Month-to-month,1,80.55,No,0.9052619855734375,High
4415-IJZTP,Month-to-month,1,74.5,Yes,0.905083712775244,High
1374-DMZUI,Month-to-month,4,94.3,Yes,0.9048899491198371,High
8098-LLAZX,Month-to-month,4,95.45,Yes,0.9048580552945481,High
8000-REIQB,Month-to-month,1,69.95,Yes,0.9048229081945073,High
8062-YBDOE,Month-to-month,1,69.65,Yes,0.9046817584306627,High
5539-TMZLF,Month-to-month,1,69.75,Yes,0.9046817584306627,High
4102-OQUPX,Month-to-month,1,74.4,Yes,0.9045419911809406,High
4603-JANFB,Month-to-month,1,69.85,Yes,0.9041126600221493,High
3722-WPXTK,Month-to-month,1,88.35,Yes,0.9039953047182117,High
3027-ZTDHO,Month-to-month,1,89.9,Yes,0.9039044385911865,High
7665-TOALD,Month-to-month,1,69.6,Yes,0.903677447768971,High
4510-HIMLV,Month-to-month,1,69.8,Yes,0.9036419928312828,High
7254-IQWOZ,Month-to-month,1,69.65,Yes,0.9036419928312828,High
6502-MJQAE,Month-to-month,1,69.6,Yes,0.903478949180182,High
0021-IKXGC,Month-to-month,1,72.1,No,0.9033304211440856,High
9057-SIHCH,Month-to-month,3,96.6,Yes,0.9031444380521136,High
0723-DRCLG,Month-to-month,1,74.45,Yes,0.9031374084615271,High
5150-ITWWB,Month-to-month,3,94.85,No,0.9030429989726085,High
2868-MZAGQ,Month-to-month,1,79.25,Yes,0.9030372965179072,High
5875-YPQFJ,Month-to-month,1,69.9,Yes,0.9029026735698176,High
5542-TBBWB,Month-to-month,1,69.9,No,0.9029026735698176,High
9804-ICWBG,Month-to-month,1,69.9,Yes,0.9029026735698176,High
0970-ETWGE,Month-to-month,1,89.55,Yes,0.9028493473758332,High
6457-USBER,Month-to-month,1,80.8,Yes,0.9027033859268406,High
1455-ESIQH,Month-to-month,1,89.1,Yes,0.902661311751117,High
